sample-id	SAMPLED_BIRD_ID	GUT_SECTION	TYPE	AGE	TREATMENT
cD14A1	D14A1	Cecum	Digesta	14	CTR
cD14A2	D14A2	Cecum	Digesta	14	CTR
cD14A3	D14A3	Cecum	Digesta	14	CTR
cD14A4	D14A4	Cecum	Digesta	14	CTR
cD14B1	D14B1	Cecum	Digesta	14	PFA
cD14B2	D14B2	Cecum	Digesta	14	PFA
cD14B3	D14B3	Cecum	Digesta	14	PFA
cD14B4	D14B4	Cecum	Digesta	14	PFA
cD14C1	D14C1	Cecum	Digesta	14	AGP
cD14C2	D14C2	Cecum	Digesta	14	AGP
cD14C3	D14C3	Cecum	Digesta	14	AGP
cD14C4	D14C4	Cecum	Digesta	14	AGP
cD21A1	D21A1	Cecum	Digesta	21	CTR
cD21A2	D21A2	Cecum	Digesta	21	CTR
cD21A3	D21A3	Cecum	Digesta	21	CTR
cD21A4	D21A4	Cecum	Digesta	21	CTR
cD21B1	D21B1	Cecum	Digesta	21	PFA
cD21B2	D21B2	Cecum	Digesta	21	PFA
cD21B3	D21B3	Cecum	Digesta	21	PFA
cD21B4	D21B4	Cecum	Digesta	21	PFA
cD21C1	D21C1	Cecum	Digesta	21	AGP
cD21C2	D21C2	Cecum	Digesta	21	AGP
cD21C3	D21C3	Cecum	Digesta	21	AGP
cD21C4	D21C4	Cecum	Digesta	21	AGP
cD35A1	D35A1	Cecum	Digesta	35	CTR
cD35A2	D35A2	Cecum	Digesta	35	CTR
cD35A3	D35A3	Cecum	Digesta	35	CTR
cD35A4	D35A4	Cecum	Digesta	35	CTR
cD35B1	D35B1	Cecum	Digesta	35	PFA
cD35B2	D35B2	Cecum	Digesta	35	PFA
cD35B3	D35B3	Cecum	Digesta	35	PFA
cD35B4	D35B4	Cecum	Digesta	35	PFA
cD35C1	D35C1	Cecum	Digesta	35	AGP
cD35C2	D35C2	Cecum	Digesta	35	AGP
cD35C3	D35C3	Cecum	Digesta	35	AGP
cD35C4	D35C4	Cecum	Digesta	35	AGP
cM14A1	D14A1	Cecum	Mucosa/Tissue	14	CTR
cM14A2	D14A2	Cecum	Mucosa/Tissue	14	CTR
cM14A3	D14A3	Cecum	Mucosa/Tissue	14	CTR
cM14A4	D14A4	Cecum	Mucosa/Tissue	14	CTR
cM14B1	D14B1	Cecum	Mucosa/Tissue	14	PFA
cM14B2	D14B2	Cecum	Mucosa/Tissue	14	PFA
cM14B3	D14B3	Cecum	Mucosa/Tissue	14	PFA
cM14B4	D14B4	Cecum	Mucosa/Tissue	14	PFA
cM14C1	D14C1	Cecum	Mucosa/Tissue	14	AGP
cM14C2	D14C2	Cecum	Mucosa/Tissue	14	AGP
cM14C3	D14C3	Cecum	Mucosa/Tissue	14	AGP
cM14C4	D14C4	Cecum	Mucosa/Tissue	14	AGP
cM21A1	D21A1	Cecum	Mucosa/Tissue	21	CTR
cM21A2	D21A2	Cecum	Mucosa/Tissue	21	CTR
cM21A3	D21A3	Cecum	Mucosa/Tissue	21	CTR
cM21A4	D21A4	Cecum	Mucosa/Tissue	21	CTR
cM21B1	D21B1	Cecum	Mucosa/Tissue	21	PFA
cM21B2	D21B2	Cecum	Mucosa/Tissue	21	PFA
cM21B3	D21B3	Cecum	Mucosa/Tissue	21	PFA
cM21B4	D21B4	Cecum	Mucosa/Tissue	21	PFA
cM21C1	D21C1	Cecum	Mucosa/Tissue	21	AGP
cM21C2	D21C2	Cecum	Mucosa/Tissue	21	AGP
cM21C3	D21C3	Cecum	Mucosa/Tissue	21	AGP
cM21C4	D21C4	Cecum	Mucosa/Tissue	21	AGP
cM35A1	D35A1	Cecum	Mucosa/Tissue	35	CTR
cM35A2	D35A2	Cecum	Mucosa/Tissue	35	CTR
cM35A4	D35A4	Cecum	Mucosa/Tissue	35	CTR
cM35B2	D35B2	Cecum	Mucosa/Tissue	35	PFA
cM35B4	D35B4	Cecum	Mucosa/Tissue	35	PFA
cM35C1	D35C1	Cecum	Mucosa/Tissue	35	AGP
cM35C2	D35C2	Cecum	Mucosa/Tissue	35	AGP
cM35C3	D35C3	Cecum	Mucosa/Tissue	35	AGP
